CityName,Latitude,Longitude,CountryName
Sinendé,10.260695,2.367979301912146,Benin
Al Makhrim,32.5225907,13.1533547,Syrian Arab Republic
Vijayapur,16.8054103,75.7179353,Bassas da India
Pasar Cekkeng,-5.5543233,120.2024931,Indonesia
Mrauk-U Main,20.1455907,92.9002203,Myanmar
Mansaba,13.9314533,-4.2599804,Guinea-Bissau
Ansongo,15.6639257,0.5067841,Mali
Tentane,19.85,-13.0,Mauritania
Bule,46.6190969,7.0581152,Democratic Republic of the Congo
Buhiga,-3.0249219,30.1684426,Burundi
Lucknow,26.8381,80.9346001,Bassas da India
Pasar Klandasan,-1.277757,116.8305543,Indonesia
Maan,30.225249750000003,36.52246845379944,Jordan
Kratie,12.678301699999999,106.05817329824376,Cambodia
Moyamba,8.1593455,-12.4313893,Sierra Leone
Amachach,20.2581628,0.9904272,Mali
Kamalenga,-6.95,22.166667,Democratic Republic of the Congo
Pasar Aur Kuning,-0.3133401,100.3863138,Indonesia
Kampong Chheuteal,12.8843538,105.06747688312662,Cambodia
Kobo,9.3764093,41.4744045,Ethiopia
Isfana,39.8384418,69.5253831,Kyrgyzstan
Dimapur,25.911744,93.721703,Bassas da India
Dila,32.563758,68.131147,Ethiopia
Al Karak,31.1843706,35.70503714051622,Jordan
Nsundwe,-14.0251427,33.4811245,Malawi
Fundong,6.280281,10.284089,Cameroon
Mola,20.8465499,77.91445914230843,Zimbabwe
Agadez Commune,16.9771516,7.988767101929913,Niger
Inke,46.3947291,17.1994768,Democratic Republic of the Congo
Peshawar,34.0123846,71.5787458,Pakistan
Enseno,8.0599516,38.4804294,Ethiopia
Haromaya,9.3965047,42.0082688,Ethiopia
Giteranyi,-2.5172828,30.458614,Burundi
Nambuma,-13.704086,33.6014591,Malawi
Kaung Ming Sang,22.95422545,98.93469536159279,Myanmar
Luiza Centre,61.7895333,34.358905,Democratic Republic of the Congo
Abra,17.583333,120.75,Philippines
Bossemptélé,5.6813325,16.6345916,Central African Republic
Al Aziziya,32.5330923,13.0176242,Libya
Laung Kyet,20.552099,93.244148,Myanmar
Rusape,-18.533515,32.124601,Zimbabwe
Mederdra,16.9199893,-15.6601304,Mauritania
Bentiu,9.2480864,29.8003988,South Sudan
Pasar Jatinegara,-6.2158706,106.8664115,Indonesia
Kirambo,9.47106,13.5416401,Rwanda
Ar-Rastan,34.9278282,36.7323119,Syrian Arab Republic
Jaipur,26.9154576,75.8189817,Bassas da India
Bayanga,2.912403,16.2611354,Central African Republic
Al Jabeen,25.3404514,55.395122,Yemen
Bamba,3.7702087,15.3297538,Mali
Maymana,35.9203903,64.7822509,Afghanistan
Poltava,49.8607809,33.7498787,Ukraine
Boeny (Region),-16.23492785,46.12926718059281,Madagascar
Bankass,14.0786136,-3.5187494,Mali
Atar,20.5181943,-13.0543928,Mauritania
Min Kan,22.0725844,96.1993044,Myanmar
Pasar Brayan,3.616867,98.6808029,Indonesia
Cagayan de Oro,8.4756417,124.6421532,Philippines
Site Kuang,22.696551749999998,114.23178982253259,Myanmar
Comé,45.939475900000005,9.149410145408947,Benin
Bhubaneshwar,20.2602964,85.8394521,Bassas da India
Bol,9.3660477,-74.8023636,Chad
Dassa-Zoumè,7.7815402,2.183606,Benin
Homestead,25.4718946,-80.4759905,Zimbabwe
Kobero,-2.7698474,30.1586641,Burundi
Empada,11.541162,-15.227461,Guinea-Bissau
Nola,40.9210826,14.5327402,Central African Republic
Bele,-1.45056,-48.4682453,Democratic Republic of the Congo
Guiglo,6.43034025,-7.5909032112704775,Cote d'Ivoire
Bethlehem,40.6178915,-75.3786521,State of Palestine
Cherkasy,49.1460165,31.2271744,Ukraine
Kyzyl-Adyr,42.6187242,71.5884966,Kyrgyzstan
Mbela,5.6796382,13.6201982,Malawi
Purnia,26.0,87.5,Bassas da India
Kok-Say,19.9143795,99.8284708,Kyrgyzstan
Gahanga,-2.0240007,30.1068336,Rwanda
Conakry-Madina,9.5447404,-13.6711449,Guinea
Koforidua,6.100334,-0.2614572,Ghana
Youwarou,15.3706088,-4.2615466,Mali
Rewa,24.756718,81.65493468694177,Bassas da India
Al Aqaba,32.3374702,35.416274,Jordan
Ramallah,31.9030543,35.1952255,State of Palestine
Luhanska,48.5717084,39.2973153,Ukraine
Tshovani,-21.0336221,31.6841214,Zimbabwe
Port-de-Paix,19.9389855,-72.8308129,Haiti
Sekong,15.8660419,106.9637782,Lao People's Democratic Republic
Baidoa,3.1549999499999997,43.584009230208295,Somalia
Beyla,8.909431999999999,-8.367475476673686,Guinea
Kicukiro,-1.9854367,30.1036335,Rwanda
Diré,16.2678091,-3.3971368,Mali
Masbate,12.166667,123.583333,Philippines
Sibiti,-3.6328012000000003,13.300506319333357,Congo
Pasar Pelita,1.14257955,104.018449,Indonesia
Negele,5.3328174,39.5806628,Ethiopia
Robe,-37.186199200000004,139.9955285127801,Ethiopia
Custom,33.55377715,-101.8361043,Nigeria
Misamis Oriental,8.6534807,124.8235205,Philippines
Tite,11.780287,-15.399514,Guinea-Bissau
Gode,5.9526975,43.5522312,Ethiopia
Dodoma Region,-6.0102878,35.8245033,United Republic of Tanzania
Pweto,-8.4741061,28.8987099,Democratic Republic of the Congo
Sehoue,6.9258324,2.2711315,Benin
Kampong Pranak,13.8084596,104.9778677,Cambodia
Ouenzé,-4.2487587,15.2859088,Congo
Ruhuha,-3.215417,29.0717219,Rwanda
Huye,-2.6053426,29.7401547,Rwanda
Jhansi,25.530130800000002,78.65242146225927,Bassas da India
Bat Doeng,11.68362675,104.70232135,Cambodia
Komo,-12.2045176,44.2832964,Guinea-Bissau
Dakhla,23.6940663,-15.9431274,Algeria
Pasar Banyuwangi,-8.21046015,114.37525714050402,Indonesia
Sofia (Region),-15.28151885,48.17108395847933,Madagascar
Bintagoungou,16.7375895,-3.7310448,Mali
Kassala,16.0431989,36.0181112,Sudan
Ndjoko Punda,-5.4508953,20.9693846,Democratic Republic of the Congo
Buthidaung,20.8747257,92.5280099,Myanmar
Tripoli,32.896672,13.1777923,Lebanon
Bissau-Bairro Militar,11.8737998,-15.6155744,Guinea-Bissau
Klouékanmè,7.07500005,1.8244247611931035,Benin
Al Midan,14.4732884,43.9021387,Syrian Arab Republic
Jariiban,7.2128199,48.8498632,Somalia
Danane,7.2597966,-8.1526273,Cote d'Ivoire
Swakopmund,-22.6767841,14.5313988,Namibia
Zaporizhia,47.4165079,35.922969,Ukraine
Natitingou,10.251408300000001,1.383540986380074,Benin
Harar,9.3118397,42.1284445,Ethiopia
Selibaby,15.1579884,-12.1847821,Mauritania
Krakor,12.5287279,104.2100448,Cambodia
Thi-Qar,24.7872925,46.6575193,Iraq
Sambalpur,21.4706422,83.98368580351055,Bassas da India
Izmir,38.4224548,27.1310699,Turkey
Kharagpur,25.133173050000003,86.52504036339789,Bassas da India
Karaan,-5.5996685,132.7250046,Somalia
Sahibganj,25.28142795,87.62096351851952,Bassas da India
Lubombo,-26.55452,31.86191156647494,Swaziland
Cuamba,-14.74863315,36.59745599721113,Mozambique
Bokhtar,37.8357217,68.7820957,Tajikistan
Gangtok,27.325756900000002,88.69827694810172,Bassas da India
Kirovograd,48.5105805,32.2656283,Ukraine
Puducherry,10.91564885,79.80694879844232,Bassas da India
Martadi,29.44958065,81.52393996264868,Nepal
Pobè,6.9820238,2.666791,Benin
Mechara,8.5997665,40.3244752,Ethiopia
Salima,-13.762898400000001,34.452369976445496,Malawi
Uruzgan,32.8129681,66.0183185,Afghanistan
Marula,-34.6380663,-58.4035857,Zimbabwe
Yabelo,7.5165464,38.4896048,Ethiopia
Borama,9.9386691,43.184119,Somalia
Makaha,21.4665875,-158.21607146723647,Zimbabwe
Sekota,12.625697,39.035441,Ethiopia
Pasar Sagulung,1.0477565,103.95130602562438,Indonesia
Siquijor,9.18,123.58,Philippines
Tanguiéta,10.965512,1.420338250811944,Benin
Gabu,12.11703505,-14.176250577969586,Guinea-Bissau
Aioun,16.6597742,-9.6178808,Mauritania
Aru,39.7779175,43.168437098021585,Democratic Republic of the Congo
Pasar Pahing,-7.6522546,109.07953797696467,Indonesia
Banikoara,11.32625415,2.473040680223342,Benin
Mafeteng,-29.7893049,27.4423193,Lesotho
Khorog,37.4903687,71.5493236,Tajikistan
Kyein Ni Pyin,20.091869,93.013031,Myanmar
Norton,39.7944702,-99.9100033,Zimbabwe
Kamwesha,-6.2079749,21.4190966,Democratic Republic of the Congo
Mukarange,-1.4872142,30.078226359078613,Rwanda
Kunduz,36.8707187,68.7563528,Afghanistan
Lay Yin Kwin,15.7996814,94.8141215,Myanmar
Boke,11.3406898,-13.9440724,Guinea
Hirat,34.3508273,62.2164003,Afghanistan
Muyinga,-2.7106551,30.3601342,Burundi
Bazha,29.1764723,89.1413674,Zimbabwe
Ramanathapuram,9.3895523,78.85907071521498,Bassas da India
Kérou,10.97211505,1.9983427684018518,Benin
Ijevan,40.8779943,45.1437542,Armenia
Pasar Rawa Indah,-4.1951563499999995,102.59572364041375,Indonesia
Kamako,-7.2836938,20.8703633,Democratic Republic of the Congo
Dwangwa,-12.506334,34.1096334,Malawi
Pasar Seroja,-6.3043925,106.8122222,Indonesia
Lira,2.2456918,32.896244,Uganda
Farah,32.607111,62.671011,Afghanistan
Pasar Terapung,-3.3195127,114.5934888,Indonesia
Kivuruga,-1.5959515,29.7555888,Rwanda
Kivyuka,-3.02774475,29.45092086395804,Burundi
Korhogo,9.4574719,-5.6342471,Cote d'Ivoire
Mogaung Market,19.322482,95.1844468,Myanmar
Muhanga,-2.0437078,29.718070301947087,Rwanda
Khagaria,25.4916868,86.69910848212217,Bassas da India
Péhunco,10.2308948,2.0004282,Benin
Bulawayo,-20.1053948,28.5426856,Zimbabwe
Rusaka,-15.4164488,28.2821535,Burundi
Bor,49.7113567,12.7753178,South Sudan
Rohtas (sasaram),24.9001003,84.0182110684575,Bassas da India
Ohn Taw Gyi,20.19755,92.785683,Myanmar
Haute Matsiatra (Region),-21.46906375,46.4663496472585,Madagascar
Dharamshala,32.2143039,76.3196717,Bassas da India
Muhanga,-2.0437078,29.718070301947087,Rwanda
Munger,25.22081165,86.51720367235285,Bassas da India
Ouadane,20.9337256,-11.6173738,Mauritania
Beula,45.9248246,5.9858054F,Zimbabwe
Tokmok,42.8373462,75.2953881,Kyrgyzstan
Pasar Anom,-6.2842635,106.8295641,Indonesia
Dibida (Kankan),10.3740303,-9.296243474622111,Guinea
Uvurkhangai,45.8297039,102.7237769,Mongolia
Osh,40.5361899,72.8033618,Kyrgyzstan
Kambia,9.1246846,-12.9189134,Sierra Leone
Bvumbwe,-15.9428201,35.026691,Malawi
Agra,27.1752554,78.0098161,Bassas da India
Kamina,-8.7351826,25.0032201,Democratic Republic of the Congo
Bilaspur-hp,31.3380959,76.7611631,Bassas da India
Pasar Besar (Kota Malang),-7.9864086,112.6332628,Indonesia
Rwagitima,-1.6655303,30.4542337,Rwanda
Rajkot,22.3053263,70.8028377,Bassas da India
Gaseke,-1.7590685,30.1245486,Rwanda
Alaba,42.844072249999996,-2.6820829322126283,Ethiopia
Chilumba,-10.4339594,34.2556,Malawi
Pasar Pagar Dewa,-3.8395147,102.32032616906505,Indonesia
Quirino,16.283333,121.583333,Philippines
Akkar,67.8627942,19.4340146,Lebanon
Kigufi,-1.8062109,29.561505,Rwanda
Abi Adi,13.8587688,39.4835723,Ethiopia
Muse,46.062608,11.114737310036357,Myanmar
Baglung,28.356335299999998,83.14253600515775,Nepal
Sai Law,55.93239925,-3.540513840458015,Myanmar
Cruzamento,-20.3109726,-40.322451,Guinea-Bissau
Mohale's Hoek,-30.0696842,27.8038609,Lesotho
Hombori,15.2831164,-1.6990741,Mali
Kidapawan,7.0095784,125.0905037,Philippines
Maxixe,-23.86996285,35.310326824828735,Mozambique
Bukirasazi,-3.3296932,29.3692229,Burundi
Liwang,28.19476925,82.96145999419483,Nepal
Nhambane,11.529108149999999,-15.986323639748417,Guinea-Bissau
Savalou,7.9297324,1.9780951,Benin
Iganga,0.7221911000000001,33.5016935166769,Uganda
Ouando,5.960786,25.9588643,Benin
Bouca,40.836137,-6.7963394,Central African Republic
Kaga-Bandoro,6.9993145,19.182305,Central African Republic
Saran,25.90835495,84.78074760594323,Bassas da India
Wellingara,13.55640565,-14.924340182410106,Gambia
Kep,10.402153949999999,104.26506181616313,Cambodia
Haldwani,29.2144809,79.5279012,Bassas da India
Laukkaing,23.6476085,98.7338866404925,Myanmar
Azovè,6.9382465,1.7221108,Benin
Largu,44.9768843,27.1443398,Democratic Republic of the Congo
Agusan del Sur,8.36,125.71,Philippines
Kotido,2.9951839,34.034212772268965,Uganda
Waingmaw,25.3537725,97.4440251,Myanmar
Bimbo,4.3325548,18.5250512,Central African Republic
Harem,36.2095065,36.5206804,Syrian Arab Republic
Filabusi,-20.535687,29.284797,Zimbabwe
Mansoa,12.06661,-15.316344,Guinea-Bissau
Djougou,9.7106683,1.6651614,Benin
Bataan,14.6436031,120.4657622,Philippines
Pasar Lemabang,-2.97243025,104.78300988418607,Indonesia
Romblon,12.5886411,122.1933517,Philippines
Ramci,50.3010779,14.4839203,Myanmar
Kankossa,15.9367211,-11.5191388,Mauritania
Mihigo,-2.8496427,29.7444955,Burundi
Lower Ban Wai,22.2804347,114.15601601894576,Myanmar
Managua,12.1544035,-86.2737642,Nicaragua
Occidental Mindoro,13.0000021,120.9166666,Philippines
Eyl,7.98751735,49.687348631397825,Somalia
Chimbiya,-14.290761400000001,34.161374417545716,Malawi
Batiment,43.23788305,5.375989074874209,Rwanda
