CountryName,CityName,Latitude,Longitude
Sinendé,10.260695,2.367979301912146,Benin,Benin
Al Makhrim,32.5225907,13.1533547,Syrian Arab Republic,Syrian Arab Republic
Vijayapur,16.8054103,75.7179353,Bassas da India,Bassas da India
Pasar Cekkeng,-5.5543233,120.2024931,Indonesia,Indonesia
Mrauk-U Main,20.1455907,92.9002203,Myanmar,Myanmar
Mansaba,13.9314533,-4.2599804,Guinea-Bissau,Guinea-Bissau
Ansongo,15.6639257,0.5067841,Mali,Mali
Tentane,19.85,-13.0,Mauritania,Mauritania
Bule,46.6190969,7.0581152,Democratic Republic of the Congo,Democratic Republic of the Congo
Buhiga,-3.0249219,30.1684426,Burundi,Burundi
Lucknow,26.8381,80.9346001,Bassas da India,Bassas da India
Pasar Klandasan,-1.277757,116.8305543,Indonesia,Indonesia
Maan,30.225249750000003,36.52246845379944,Jordan,Jordan
Kratie,12.678301699999999,106.05817329824376,Cambodia,Cambodia
Moyamba,8.1593455,-12.4313893,Sierra Leone,Sierra Leone
Amachach,20.2581628,0.9904272,Mali,Mali
Kamalenga,-6.95,22.166667,Democratic Republic of the Congo,Democratic Republic of the Congo
Pasar Aur Kuning,-0.3133401,100.3863138,Indonesia,Indonesia
Kampong Chheuteal,12.8843538,105.06747688312662,Cambodia,Cambodia
Kobo,9.3764093,41.4744045,Ethiopia,Ethiopia
Isfana,39.8384418,69.5253831,Kyrgyzstan,Kyrgyzstan
Dimapur,25.911744,93.721703,Bassas da India,Bassas da India
Dila,32.563758,68.131147,Ethiopia,Ethiopia
Al Karak,31.1843706,35.70503714051622,Jordan,Jordan
Nsundwe,-14.0251427,33.4811245,Malawi,Malawi
Fundong,6.280281,10.284089,Cameroon,Cameroon
Mola,20.8465499,77.91445914230843,Zimbabwe,Zimbabwe
Agadez Commune,16.9771516,7.988767101929913,Niger,Niger
Inke,46.3947291,17.1994768,Democratic Republic of the Congo,Democratic Republic of the Congo
Peshawar,34.0123846,71.5787458,Pakistan,Pakistan
Enseno,8.0599516,38.4804294,Ethiopia,Ethiopia
Haromaya,9.3965047,42.0082688,Ethiopia,Ethiopia
Giteranyi,-2.5172828,30.458614,Burundi,Burundi
Nambuma,-13.704086,33.6014591,Malawi,Malawi
Kaung Ming Sang,22.95422545,98.93469536159279,Myanmar,Myanmar
Luiza Centre,61.7895333,34.358905,Democratic Republic of the Congo,Democratic Republic of the Congo
Abra,17.583333,120.75,Philippines,Philippines
Bossemptélé,5.6813325,16.6345916,Central African Republic,Central African Republic
Al Aziziya,32.5330923,13.0176242,Libya,Libya
Laung Kyet,20.552099,93.244148,Myanmar,Myanmar
Rusape,-18.533515,32.124601,Zimbabwe,Zimbabwe
Mederdra,16.9199893,-15.6601304,Mauritania,Mauritania
Bentiu,9.2480864,29.8003988,South Sudan,South Sudan
Pasar Jatinegara,-6.2158706,106.8664115,Indonesia,Indonesia
Kirambo,9.47106,13.5416401,Rwanda,Rwanda
Ar-Rastan,34.9278282,36.7323119,Syrian Arab Republic,Syrian Arab Republic
Jaipur,26.9154576,75.8189817,Bassas da India,Bassas da India
Bayanga,2.912403,16.2611354,Central African Republic,Central African Republic
Al Jabeen,25.3404514,55.395122,Yemen,Yemen
Bamba,3.7702087,15.3297538,Mali,Mali
Maymana,35.9203903,64.7822509,Afghanistan,Afghanistan
Poltava,49.8607809,33.7498787,Ukraine,Ukraine
Boeny (Region),-16.23492785,46.12926718059281,Madagascar,Madagascar
Bankass,14.0786136,-3.5187494,Mali,Mali
Atar,20.5181943,-13.0543928,Mauritania,Mauritania
Min Kan,22.0725844,96.1993044,Myanmar,Myanmar
Pasar Brayan,3.616867,98.6808029,Indonesia,Indonesia
Cagayan de Oro,8.4756417,124.6421532,Philippines,Philippines
Site Kuang,22.696551749999998,114.23178982253259,Myanmar,Myanmar
Comé,45.939475900000005,9.149410145408947,Benin,Benin
Bhubaneshwar,20.2602964,85.8394521,Bassas da India,Bassas da India
Bol,9.3660477,-74.8023636,Chad,Chad
Dassa-Zoumè,7.7815402,2.183606,Benin,Benin
Homestead,25.4718946,-80.4759905,Zimbabwe,Zimbabwe
Kobero,-2.7698474,30.1586641,Burundi,Burundi
Empada,11.541162,-15.227461,Guinea-Bissau,Guinea-Bissau
Nola,40.9210826,14.5327402,Central African Republic,Central African Republic
Bele,-1.45056,-48.4682453,Democratic Republic of the Congo,Democratic Republic of the Congo
Guiglo,6.43034025,-7.5909032112704775,Cote d'Ivoire,Cote d'Ivoire
Bethlehem,40.6178915,-75.3786521,State of Palestine,State of Palestine
Cherkasy,49.1460165,31.2271744,Ukraine,Ukraine
Kyzyl-Adyr,42.6187242,71.5884966,Kyrgyzstan,Kyrgyzstan
Mbela,5.6796382,13.6201982,Malawi,Malawi
Purnia,26.0,87.5,Bassas da India,Bassas da India
Kok-Say,19.9143795,99.8284708,Kyrgyzstan,Kyrgyzstan
Gahanga,-2.0240007,30.1068336,Rwanda,Rwanda
Conakry-Madina,9.5447404,-13.6711449,Guinea,Guinea
Koforidua,6.100334,-0.2614572,Ghana,Ghana
Youwarou,15.3706088,-4.2615466,Mali,Mali
Rewa,24.756718,81.65493468694177,Bassas da India,Bassas da India
Al Aqaba,32.3374702,35.416274,Jordan,Jordan
Ramallah,31.9030543,35.1952255,State of Palestine,State of Palestine
